NMec = 2020
T = 20
P = 5
Profits not ignored
Solution time = 5.093e-03
Viable tasks = 284811
Total Profit = 22507
Task     Starting date     Ending date     Profit 
1               1              14           1232
2               3              29           2779
3               4              17           1089
4               4              18           1648
5               4              19           2348
6               5              16            785
7               6              28           3411
8               8              22           1700
9               9              29           4539
10             10              23           2135
11             12              29           1376
12             13              21            737
13             19              27            738
14             20              23           1137
15             21              39           3242
16             22              35           1891
17             23              37           1702
18             25              34           1768
19             28              37            775
20             33              36           1012
End
