NMec = 2020
T = 18
P = 2
Profits not ignored
Solution time = 1.701e-04
Viable tasks = 9220
Total Profit = 21162
Task     Starting date     Ending date     Profit 
1               0               8           1283
2               3              12           1050
3              16              29           3404
4              25              50           3826
5              29              39           1325
6              32              33            381
7              37              58           3639
8              38              78           4172
9              39              44            837
10             39              53           1290
11             41              65           5330
12             43              62           2190
13             49              62           1805
14             51              81           4502
15             53              60           1114
16             53              74           1879
17             61              72           2500
18             69              81           1386
End
