NMec = 2020
T = 12
P = 2
Profits not ignored
Solution time = 9.245e-06
Viable tasks = 334
Total Profit = 19993
Task     Starting date     Ending date     Profit 
1               0              57          11749
2               2              57           5976
3               9              24           2702
4              11              51           2927
5              12              23           2872
6              16              33           2758
7              21              25            899
8              25              47           4610
9              37              44           1977
10             42              52           2425
11             42              56           1414
12             48              50            762
End
