NMec = 2020
T = 7
P = 1
Profits not ignored
Solution time = 2.107e-06
Viable tasks = 28
Total Profit = 5011
Task     Starting date     Ending date     Profit 
1               2              10            970
2              14              33           2736
3              18              35           1589
4              19              24            628
5              23              41           1107
6              30              37            971
7              58              67           1305
8      2107062180           32767       20750552
9        21039592           32692       21042424
End
