NMec = 2020
T = 26
P = 3
Profits not ignored
Solution time = 8.898e-02
Viable tasks = 5391996
Total Profit = 31039
Task     Starting date     Ending date     Profit 
1               0               8           1538
2               1               8           1053
3               3              63           4909
4               6              14           1066
5               8              26           2121
6               9              25            972
7              10              27           2987
8              16              25           2247
9              18              36           4056
10             25              39           1821
11             25              42           3720
12             26              48           1227
13             28              33            912
14             33              44           1240
15             36              45            998
16             47              66           2994
17             56              69           2513
18             56              75           1524
19             57              76           2133
20             58              84           4562
21             61              69           1944
22             65              80           3401
23             67              77           1372
24             78              82           1408
25             78              84            676
26             81              85            836
End
