NMec = 2020
T = 17
P = 5
Profits not ignored
Solution time = 1.086e-03
Viable tasks = 59829
Total Profit = 23140
Task     Starting date     Ending date     Profit 
1               1               8           1063
2               2               8           1336
3               3               9           1434
4               3              23           2041
5               5              15           1612
6               5              28           4508
7               6              13           1808
8               7              20           1128
9               7              21           2953
10             10              21           1362
11             13              19           1173
12             13              26           1062
13             16              32           3317
14             18              30           3363
15             19              28           2643
16             20              31           1783
17             25              32           1189
End
