NMec = 2020
T = 31
P = 6
Profits not ignored
Solution time = 8.995e+00
Viable tasks = 487699256
Total Profit = 43456
Task     Starting date     Ending date     Profit 
1               0              13           2351
2               1              50           9906
3               2              12           1668
4               2              22           1827
5               5              11           1224
6               6              13            921
7               8              13           1013
8               8              28           4791
9              10              13            947
10             11              28           2557
11             13              27           1391
12             14              25           1189
13             14              35           4602
14             16              17            251
15             18              40           2529
16             20              41           2709
17             21              38           2076
18             21              46           3360
19             22              32           1479
20             24              36            877
21             26              35            698
22             26              45           4231
23             28              40           1178
24             29              38           1007
25             32              38           1070
26             37              45            962
27             37              46           2015
28             37              46           2867
29             38              44            494
30             40              51           1227
31             44              50            587
End
