NMec = 2020
T = 27
P = 8
Profits not ignored
Solution time = 4.557e-01
Viable tasks = 20470898
Total Profit = 44718
Task     Starting date     Ending date     Profit 
1               0               5            967
2               0              23           3076
3               0              26           7295
4               2              18           3835
5               3              10            642
6               3              16           3742
7               3              20           4461
8               3              24           4826
9               4              19           3965
10              4              23           5404
11              5               8            645
12              5              30           4498
13              6              26           3434
14              9              17           1754
15              9              17            873
16             10              25           1472
17             10              28           3799
18             10              30           1224
19             11              20           2119
20             13              22            955
21             13              26           1416
22             14              32           2625
23             15              17            230
24             15              31           1643
25             17              30           2871
26             18              30           2930
27             24              33           1526
End
