NMec = 2020
T = 24
P = 8
Profits not ignored
Solution time = 8.674e-02
Viable tasks = 3747010
Total Profit = 26951
Task     Starting date     Ending date     Profit 
1               0              18           1933
2               2              10            614
3               2              29           2825
4               3               4            177
5               3              24           1901
6               4              16           1889
7               4              25           3104
8               5              14           2695
9               5              19           2073
10              6              19            797
11              6              26           1781
12              6              27           4350
13              6              29           2462
14              7              23           3480
15              7              26           1632
16              8              17            711
17             10              21            731
18             11              23           1288
19             11              27           1139
20             11              27           2052
21             14              20           1104
22             14              25           1629
23             18              28           1976
24             19              28           1283
End
