NMec = 2020
T = 20
P = 7
Profits not ignored
Solution time = 1.047e-02
Viable tasks = 482457
Total Profit = 24762
Task     Starting date     Ending date     Profit 
1               0               9           1418
2               0              25           2556
3               1               8           1137
4               1              19           2391
5               3              11           1946
6               4              19           2467
7               5              16           1192
8               5              18           2921
9               5              29           2285
10              6              15           1790
11              6              15           1451
12              6              18           2999
13              8              24           1928
14              9              10            313
15              9              25           3678
16             13              29           3073
17             14              24           1968
18             15              27           2211
19             17              25           1033
20             18              21            801
End
