NMec = 2020
T = 32
P = 2
Profits not ignored
Solution time = 6.026e-01
Viable tasks = 45066032
Total Profit = 39356
Task     Starting date     Ending date     Profit 
1              10              18           2114
2              18              30           2581
3              20              23            805
4              21              31           1840
5              23              27            378
6              23             156          19522
7              25              63           5902
8              29              37            720
9              39              50           1818
10             42              56           1313
11             43              49           1450
12             47              58           1166
13             56              72           3078
14             60              72           1886
15             64              82           1634
16             67              77           1285
17             76              96           2283
18             76              98           4282
19             78             101           4610
20             82              83            245
21             85              91           1580
22             87             100           3143
23             89              98            824
24             94             111           1068
25            101             111           3105
26            101             115           2183
27            108             118           2094
28            108             124           2715
29            123             127            465
30            125             142           1563
31            138             144            897
32            151             156            840
End
