NMec = 2020
T = 11
P = 3
Profits not ignored
Solution time = 2.192e-05
Viable tasks = 616
Total Profit = 15302
Task     Starting date     Ending date     Profit 
1               0              25           5509
2               1              25           2412
3               4              17           1681
4               4              19           4238
5               6              21           2275
6               8              16           1498
7              10              20           1124
8              12              20            956
9              18              29           2645
10             23              30           1229
11             25              34           1186
End
