NMec = 2020
T = 19
P = 1
Profits not ignored
Solution time = 1.338e-04
Viable tasks = 7344
Total Profit = 17834
Task     Starting date     Ending date     Profit 
1               1              21           1607
2               2              21           3749
3               4              15           2774
4              33              45           2682
5              33              45           1546
6              35              60           6888
7              48              53            707
8              51              69           1560
9              68              87           2142
10            124             134            903
11            127             141           1752
12            129             138            683
13            135             152           2011
14            158             167            816
15            166             172            768
16            173             183           1254
17            174             184           1325
18            179             182            354
19            183             188            751
End
