NMec = 2020
T = 8
P = 4
Profits not ignored
Solution time = 7.882e-06
Viable tasks = 244
Total Profit = 8229
Task     Starting date     Ending date     Profit 
1               5              11            653
2               7              15            954
3               7              29           2049
4              10              19           1300
5              13              17            990
6              14              23           1679
7              17              29           1295
8              25              27            299
9       395450856           32564      395453688
End
