NMec = 2020
T = 13
P = 6
Profits not ignored
Solution time = 1.224e-04
Viable tasks = 5762
Total Profit = 21586
Task     Starting date     Ending date     Profit 
1               0              10           1055
2               0              10            900
3               0              16           2924
4               0              18           1538
5               0              26           5465
6               1               4            562
7               4              24           2859
8               4              28           3527
9               7              14           1631
10              7              24           1519
11              8              19           1176
12              9              27           2600
13             13              26           2594
End
