NMec = 2020
T = 12
P = 4
Profits not ignored
Solution time = 3.494e-05
Viable tasks = 1613
Total Profit = 19412
Task     Starting date     Ending date     Profit 
1               1               9           2022
2               1              15           1524
3               1              26           5531
4               2              12           1394
5               2              19           1662
6               5              23           4470
7               6              19           1896
8               9              17           1971
9              10              16            817
10             12              27           4626
11             14              23           1369
12             18              22            408
End
