NMec = 2020
T = 20
P = 8
Profits not ignored
Solution time = 1.123e-02
Viable tasks = 721568
Total Profit = 23905
Task     Starting date     Ending date     Profit 
1               0               8           1364
2               0              10           1700
3               0              16           1826
4               0              29           4055
5               1              15           1645
6               2              16           2550
7               2              28           1786
8               3              10           1518
9               4              10            651
10              6              11           1410
11              6              21           2653
12              7              11            589
13              7              13            587
14              9              18           1931
15              9              20           2406
16              9              21            920
17             12              21           1382
18             19              27           1127
19             20              23            526
20             23              26            599
End
