NMec = 2020
T = 23
P = 1
Profits not ignored
Solution time = 8.277e-04
Viable tasks = 52848
Total Profit = 37128
Task     Starting date     Ending date     Profit 
1              13              20           1495
2              16              24            732
3              27              35            939
4              31              42           1127
5              32             138          16055
6              34             178          27638
7              61              76           1264
8              66              71            600
9              81              86            653
10             84              93           2870
11             87              92            533
12            101             118           3307
13            115             134           3136
14            121             141           2877
15            131             136            794
16            139             161           1883
17            150             167           3983
18            153             165           1392
19            171             181            861
20            171             189           2777
21            182             194           1753
22            195             215           6242
23            203             216           2892
End
