NMec = 2020
T = 11
P = 8
Profits not ignored
Solution time = 4.974e-05
Viable tasks = 2048
Total Profit = 19694
Task     Starting date     Ending date     Profit 
1               3              23           1490
2               4              11           1067
3               4              28           4952
4               6              16           1684
5               7              16            922
6               9              11            356
7              12              26           3718
8              12              28           2167
9              12              28           1341
10             18              25           1084
11             21              27            913
End
