NMec = 2020
T = 10
P = 1
Profits not ignored
Solution time = 2.759e-06
Viable tasks = 64
Total Profit = 11829
Task     Starting date     Ending date     Profit 
1               0              26           2281
2               8              21           1065
3              14              28           3286
4              21              35           3504
5              24              44           2503
6              35              55           3599
7              36              61           3645
8              64              76           2555
9              68              93           4680
10             69              87           3610
End
