NMec = 2020
T = 8
P = 6
Profits not ignored
Solution time = 7.435e-06
Viable tasks = 256
Total Profit = 16068
Task     Starting date     Ending date     Profit 
1               0              14           1797
2               2              20           2551
3               2              21           2876
4               4              12            882
5               5              27           3098
6               7              18           1550
7              16              28           2954
8              27              29            360
9      -976303640           32671     -976300808
End
