NMec = 2020
T = 24
P = 7
Profits not ignored
Solution time = 1.009e-01
Viable tasks = 6295156
Total Profit = 32481
Task     Starting date     Ending date     Profit 
1               0               8           2042
2               0              27           6649
3               0              34           6354
4               1              15           1395
5               1              21           1874
6               1              32           3588
7               2               6            614
8               2              15           1447
9               3              20           1250
10              6              18           1796
11              7              23           1265
12              7              27           2384
13              8              13            481
14             10              21           1793
15             10              23           2532
16             10              33           2647
17             11              29           1885
18             12              15            397
19             16              24            775
20             22              27            575
21             23              32           2021
22             23              34           1359
23             26              29            746
24             32              34            259
End
