NMec = 2020
T = 27
P = 3
Profits not ignored
Solution time = 7.728e-02
Viable tasks = 4722028
Total Profit = 44520
Task     Starting date     Ending date     Profit 
1               3               7            407
2               7              89          14003
3               9              12            458
4               9              25           1197
5              14              26           2151
6              15              18            764
7              15              35           1972
8              19              23            674
9              20              43           3793
10             22              39           1561
11             24              88          14485
12             28              36            849
13             29              38           2340
14             31              43           1987
15             34              45           2807
16             36              44            901
17             36              48           1971
18             37              58           2709
19             41              45           1037
20             41              50           1897
21             44              58           3662
22             56              75           4366
23             57              64           1027
24             59              78           1874
25             60              68           1482
26             66              75           1965
27             73              89           4094
End
