NMec = 2020
T = 26
P = 7
Profits not ignored
Solution time = 3.265e-01
Viable tasks = 20161719
Total Profit = 33093
Task     Starting date     Ending date     Profit 
1               0              13           1899
2               1              20           4630
3               3              12           1319
4               4              17           1168
5               7              20           1197
6               8              36           3896
7               9              20           1871
8               9              23           3424
9              10              26           2727
10             11              27           2202
11             12              22           1608
12             13              20            693
13             15              21            697
14             15              28           1174
15             15              30           3402
16             16              23            434
17             18              23            948
18             18              25            465
19             19              33           2505
20             20              37           1347
21             22              31           1919
22             26              34           1663
23             28              37           1228
24             29              32           1001
25             30              37           1502
26             32              37            637
End
