NMec = 2020
T = 11
P = 7
Profits not ignored
Solution time = 3.958e-05
Viable tasks = 2048
Total Profit = 16905
Task     Starting date     Ending date     Profit 
1               1              15           3357
2               2               8            530
3               5              29           2597
4               7              16           2411
5               8              15            862
6               8              25           3276
7              10              19            910
8              10              22           1090
9              16              22           1043
10             22              29            550
11             25              26            279
End
