NMec = 2020
T = 16
P = 3
Profits not ignored
Solution time = 1.784e-04
Viable tasks = 10456
Total Profit = 25545
Task     Starting date     Ending date     Profit 
1               2              42           4117
2               2              52           8860
3               6              26           3581
4               7              25           3765
5              10              18           1184
6              15              19           1088
7              16              35           2617
8              21              43           4856
9              26              37           2314
10             28              40           2243
11             31              39           1757
12             33              51           4484
13             34              39            457
14             41              52           2541
15             46              50            697
16             47              52           1031
End
