NMec = 2020
T = 11
P = 4
Profits not ignored
Solution time = 4.331e-05
Viable tasks = 1454
Total Profit = 13745
Task     Starting date     Ending date     Profit 
1               3              14           1124
2               5               9            370
3               8              20           1854
4               8              22           2030
5               9              15           1107
6               9              16           1624
7              10              18           1572
8              12              27           4575
9              17              26           1794
10             17              27           1639
11             22              29            765
End
