NMec = 2020
T = 19
P = 7
Profits not ignored
Solution time = 5.863e-03
Viable tasks = 262218
Total Profit = 30569
Task     Starting date     Ending date     Profit 
1               0               7           1551
2               1              28           3400
3               2              11            832
4               3              27           2149
5               5              21           1871
6               5              25           3636
7               6              15           1671
8               6              21           1428
9               8              16           1507
10              8              25           5063
11              8              28           5861
12             10              27           1545
13             11              27           2443
14             12              23           2744
15             14              23            842
16             14              24           2075
17             17              28           2716
18             20              24            361
19             23              28           1224
End
