NMec = 2020
T = 7
P = 3
Profits not ignored
Solution time = 4.161e-06
Viable tasks = 110
Total Profit = 11110
Task     Starting date     Ending date     Profit 
1               0              27           4609
2               4              15           1210
3               5               8            331
4               6              25           3693
5              10              13            893
6              14              28           1257
7              18              23           1584
8     -1199964316           32766      920522968
9       920812008           32675      920814840
End
