NMec = 2020
T = 7
P = 6
Profits not ignored
Solution time = 5.390e-06
Viable tasks = 128
Total Profit = 11016
Task     Starting date     Ending date     Profit 
1               6              26           2549
2               8              16           1361
3              11              29           1859
4              12              19           1137
5              16              22           1596
6              18              22            716
7              20              26           1798
8       933207076           32765     1931178200
9      1931467240           32700     1931470072
End
