NMec = 2020
T = 30
P = 5
Profits not ignored
Solution time = 1.244e+00
Viable tasks = 79282560
Total Profit = 41218
Task     Starting date     Ending date     Profit 
1               0              38           5040
2               1              10           1152
3               3               8            679
4               4              49           9171
5               6              19           2079
6               7              30           1845
7               9              35           7318
8              10              25           1701
9              11              22           1623
10             14              26           2078
11             16              23           1081
12             16              25            649
13             16              35           3815
14             20              39           2613
15             21              26            982
16             23              31            859
17             24              42           2716
18             26              46           1763
19             27              38           1138
20             27              44           2215
21             31              37           1701
22             32              42           1333
23             32              58           5510
24             33              37           1002
25             35              44           1504
26             35              46           1328
27             41              50           1146
28             50              56           1143
29             51              56           1517
30             52              56            784
End
