NMec = 2020
T = 28
P = 8
Profits not ignored
Solution time = 1.410e+00
Viable tasks = 79204112
Total Profit = 41967
Task     Starting date     Ending date     Profit 
1               0               5           1050
2               1              12           2676
3               2               5            456
4               2              15           2141
5               2              23           3380
6               2              25           1910
7               3              20           1548
8               3              21           5052
9               3              22           2981
10              3              26           1602
11              7              31           5862
12              8              16           1236
13              8              32           4981
14              9              15           1258
15              9              34           2695
16             11              13            349
17             12              23           1071
18             13              21            889
19             14              24           1562
20             14              32           3043
21             14              33           2979
22             15              31           1987
23             16              21            947
24             16              29           2484
25             19              32           1412
26             24              34           1251
27             25              33           2266
28             27              33           1016
End
