NMec = 2020
T = 31
P = 4
Profits not ignored
Solution time = 2.289e+00
Viable tasks = 143465686
Total Profit = 43317
Task     Starting date     Ending date     Profit 
1               0              75           6358
2               4              16           1608
3               4              29           6307
4               6               8            688
5               6              14           1210
6              13              18            725
7              14              29           2706
8              15              28           2713
9              16              25            974
10             18              31           2509
11             18              36           4370
12             20              38           2162
13             21              27            894
14             21              33            893
15             22              37           4247
16             25              26            211
17             25              37           2344
18             27              36           2470
19             31              50           1307
20             33              37            795
21             36              57           3053
22             39              42            817
23             39              56           4151
24             42              47            863
25             45              52            635
26             49              70           6011
27             50              59           1141
28             52              70           2252
29             55              66            912
30             62              74           1144
31             67              75           2363
End
