NMec = 2020
T = 14
P = 6
Profits not ignored
Solution time = 3.109e-04
Viable tasks = 11156
Total Profit = 25851
Task     Starting date     Ending date     Profit 
1               0              29           3734
2               1              19           4585
3               2               7            904
4               3              12           2426
5               3              23           2820
6               5              27           3979
7               5              28           3283
8               9              22           1321
9              10              29           2497
10             11              13            749
11             12              26           3591
12             13              24           2700
13             15              25           3183
14             19              26           1065
End
