NMec = 2020
T = 12
P = 5
Profits not ignored
Solution time = 6.731e-05
Viable tasks = 2824
Total Profit = 20277
Task     Starting date     Ending date     Profit 
1               0              28           3065
2               1              23           2318
3               2               6            461
4               2              10           1783
5               6              21           2577
6               6              29           6193
7               7              29           3544
8               8              19            977
9               9              19           2196
10             10              20           1500
11             14              29           1577
12             22              28           1077
End
