NMec = 2020
T = 18
P = 7
Profits not ignored
Solution time = 2.580e-03
Viable tasks = 154774
Total Profit = 27881
Task     Starting date     Ending date     Profit 
1               0               9           1943
2               1               7            614
3               1              16           2924
4               1              17           1865
5               1              17           2994
6               3              16           3178
7               3              16           1457
8               3              20           3628
9               3              24           2188
10              4              17           1944
11              7              23           3208
12              8              29           4226
13             11              16            740
14             12              19           1184
15             13              17            946
16             14              22           2120
17             17              26           1137
18             18              26           1909
End
