NMec = 2020
T = 23
P = 2
Profits not ignored
Solution time = 2.363e-03
Viable tasks = 127648
Total Profit = 35181
Task     Starting date     Ending date     Profit 
1               0               6            649
2               0               8           1347
3               0             113          10727
4               5              18           2160
5               8             111          16237
6              10             114          10786
7              13              21           1202
8              17              95          14472
9              18             113           9243
10             24              31           1337
11             27              45           3088
12             41              58           2612
13             42              67           6204
14             48              52           1269
15             56              70           2116
16             68              77            893
17             74              81           1091
18             83             104           3673
19             91             110           1595
20             95              97            433
21             97             112           2476
22            106             114            881
23            107             110            312
End
