NMec = 2020
T = 18
P = 5
Profits not ignored
Solution time = 2.228e-03
Viable tasks = 125194
Total Profit = 21246
Task     Starting date     Ending date     Profit 
1               0              17           1443
2               0              20           3229
3               2              30           2454
4               2              31           4193
5               3              16           2746
6               4              18           1812
7               6              15           1693
8               7              29           3582
9              11              22            943
10             13              18            731
11             19              29           1514
12             20              23            495
13             20              28           1236
14             21              34           2622
15             22              25            522
16             23              34           1191
17             29              30            115
18             30              31            197
End
