NMec = 2020
T = 8
P = 1
Profits not ignored
Solution time = 2.062e-06
Viable tasks = 40
Total Profit = 13001
Task     Starting date     Ending date     Profit 
1               3              23           2200
2               5              38           7498
3               9              21           1345
4              16              23            798
5              43              53           2102
6              54              69           3401
7              59              65           1449
8              63              78           2892
9       571787752           32655      571790584
End
