NMec = 2020
T = 25
P = 6
Profits not ignored
Solution time = 1.677e-01
Viable tasks = 7107696
Total Profit = 34897
Task     Starting date     Ending date     Profit 
1               1              11           1090
2               1              20           1671
3               2              10           1721
4               2              13            663
5               2              16           2937
6               2              20           2138
7               3              30           6300
8               4              18           2156
9               5              12           1009
10              6              11            530
11              8              18           2349
12              8              30           4995
13             11              31           4025
14             12              40           4295
15             17              37           3689
16             18              34           3312
17             18              37           2455
18             20              28           1810
19             22              33           3084
20             25              38           1467
21             26              37            902
22             27              37           1953
23             27              40           3251
24             28              33            530
25             29              35            654
End
