NMec = 2020
T = 29
P = 6
Profits not ignored
Solution time = 1.900e+00
Viable tasks = 80910879
Total Profit = 40746
Task     Starting date     Ending date     Profit 
1               1               7            492
2               1              11           1615
3               1              13           1293
4               3              11           1591
5               3              18           3370
6               3              28           4727
7               4              15           1949
8               5              13           2132
9               5              28           2126
10              6              15           1341
11              6              30           2949
12              7              21           2028
13              8              19           2449
14             11              31           3240
15             12              37           5891
16             13              24           1185
17             13              40           6743
18             17              43           2741
19             18              27           1443
20             18              38           3333
21             24              47           3036
22             25              44           2758
23             26              41           2187
24             29              43           2609
25             29              48           1807
26             32              43           1033
27             32              45           1597
28             36              43           1101
29             37              42            640
End
