NMec = 2020
T = 22
P = 6
Profits not ignored
Solution time = 1.383e-02
Viable tasks = 660029
Total Profit = 32877
Task     Starting date     Ending date     Profit 
1               0              28           6477
2               2               9            777
3               2              18           4535
4               2              33           3348
5               3              24           5903
6               5              12            494
7               6              20           1469
8               6              26           3882
9               6              29           3450
10              8              24           3202
11              8              25           1285
12              9              16            794
13             10              35           2425
14             11              17           1023
15             12              27           3408
16             13              20           1130
17             16              20            343
18             18              23            673
19             19              27           1890
20             19              33           1294
21             19              33           2994
22             26              36           1451
End
