NMec = 2020
T = 6
P = 2
Profits not ignored
Solution time = 5.785e-06
Viable tasks = 22
Total Profit = 9353
Task     Starting date     Ending date     Profit 
1               2              24           1855
2               4              21           3441
3               4              28           5512
4               4              29           3841
5               5              21           3162
6              17              19            394
7               1               0      535173608
8     -1097767868           32765      534884568
9       535173608           32680      535176440
End
