NMec = 2020
T = 30
P = 8
Profits not ignored
Solution time = 2.971e+00
Viable tasks = 152956205
Total Profit = 44432
Task     Starting date     Ending date     Profit 
1               2              17           1909
2               4              16           2107
3               4              21           4282
4               6              16           2586
5               7              19           1196
6               7              20           1535
7               7              31           3489
8               9              20           1682
9              10              20           2204
10             10              26           2185
11             10              35           1375
12             11              17           1359
13             11              22           1928
14             11              37           4351
15             12              21           1312
16             15              31           1620
17             16              34           3128
18             16              36           2088
19             17              21           1473
20             17              30           2761
21             17              33           1684
22             17              36           5018
23             18              25           1992
24             19              35           3505
25             20              34           3843
26             22              35           1928
27             24              30            399
28             25              37           3333
29             26              37           2058
30             27              33            941
End
