NMec = 2020
T = 6
P = 6
Profits not ignored
Solution time = 3.071e-06
Viable tasks = 64
Total Profit = 12984
Task     Starting date     Ending date     Profit 
1               0               3            947
2               0              16           1649
3               3              26           4188
4               6              26           2742
5              13              28           1992
6              20              25           1466
7               1               0     1646131688
8     -1646545820           32765     1645842648
9      1646131688           32727     1646134520
End
