NMec = 2020
T = 11
P = 5
Profits not ignored
Solution time = 4.089e-05
Viable tasks = 1275
Total Profit = 13587
Task     Starting date     Ending date     Profit 
1               0              15           1638
2               0              18           1220
3               0              23           2327
4               4               7            693
5               6              29           4253
6               7              19           1425
7               8              21           1483
8               8              22           1919
9               9              21           2503
10             10              29           1892
11             12              21           1533
End
