NMec = 2020
T = 23
P = 4
Profits not ignored
Solution time = 1.390e-02
Viable tasks = 763088
Total Profit = 29039
Task     Starting date     Ending date     Profit 
1               1              24           6402
2               1              56           6305
3               3              17           2325
4               7              12            379
5              11              51           6172
6              12              35           2664
7              13              27           1895
8              13              49           3235
9              14              19            879
10             14              24           2447
11             15              53           4112
12             16              29           1174
13             17              27           2087
14             19              32           1460
15             22              40           2615
16             25              28            746
17             33              39            947
18             36              50           2057
19             37              46           1536
20             44              50            772
21             46              55           1221
22             48              55           1174
23             53              57            543
End
