NMec = 2020
T = 13
P = 5
Profits not ignored
Solution time = 8.586e-05
Viable tasks = 3841
Total Profit = 17552
Task     Starting date     Ending date     Profit 
1               2               6            460
2               3              12           2253
3               3              19           2199
4               4              21           3364
5               4              22           4430
6               6              18           1283
7               7              24           3144
8               9              20           1671
9               9              28           2248
10             10              19           1216
11             11              20            785
12             13              26           1653
13             17              23           1325
End
