NMec = 2020
T = 12
P = 3
Profits not ignored
Solution time = 3.305e-05
Viable tasks = 1980
Total Profit = 11797
Task     Starting date     Ending date     Profit 
1               0              12           1006
2               2              15           2093
3               2              20           3015
4               3              17           2268
5               4               7            643
6               4              19           2261
7              11              24           2177
8              15              19            920
9              21              36           1375
10             24              37           1133
11             25              32           1186
12             26              38            978
End
