NMec = 2020
T = 12
P = 7
Profits not ignored
Solution time = 9.868e-05
Viable tasks = 4012
Total Profit = 19060
Task     Starting date     Ending date     Profit 
1               0              17           2681
2               1              15           1773
3               1              18           2835
4               1              18           2527
5               8              17            650
6              11              22           1235
7              11              26           3080
8              14              23           1166
9              16              26           1178
10             17              24           1919
11             23              29           1537
12             24              25            295
End
