NMec = 2020
T = 29
P = 4
Profits not ignored
Solution time = 3.978e-01
Viable tasks = 17456342
Total Profit = 39787
Task     Starting date     Ending date     Profit 
1               0               9           1493
2               1              27           3722
3               4              22           3235
4               4              69           4905
5               7              28           3260
6               8              11            630
7               8              23           1697
8              14              28           1596
9              16              36           5185
10             17              23           1726
11             19              22           1166
12             20              34           1821
13             24              40           4235
14             24              55           3071
15             26              44           2121
16             30              42           2637
17             34              47           1723
18             36              50           2863
19             36              55           3572
20             37              49           3498
21             41              56           1632
22             41              62           2699
23             44              54           1712
24             44              58           1779
25             46              55           1244
26             46              66           2548
27             52              62           2636
28             52              66           1776
29             54              62            680
End
