NMec = 2020
T = 18
P = 8
Profits not ignored
Solution time = 3.607e-03
Viable tasks = 189338
Total Profit = 19746
Task     Starting date     Ending date     Profit 
1               2              18           2269
2               2              19           1893
3               6              15           1453
4               6              20           2230
5               6              21           1362
6               9              12            359
7               9              16           1345
8               9              27           1491
9              10              18           2240
10             10              20           1351
11             10              28           2024
12             11              17            951
13             12              29           2174
14             13              29           2303
15             14              21            749
16             16              21            997
17             18              25            875
18             20              29           1477
End
