NMec = 2020
T = 17
P = 1
Profits not ignored
Solution time = 3.067e-05
Viable tasks = 1280
Total Profit = 14303
Task     Starting date     Ending date     Profit 
1              10              28           2391
2              19              28           1335
3              20              30           1608
4              37              57           1839
5              70              80            959
6              75              84           1531
7              79              85           1750
8             103             109            462
9             105             125           2385
10            108             116            892
11            110             120           2059
12            113             130           2514
13            123             139           4295
14            123             140           2285
15            126             149           3956
16            133             144           1888
17            136             165           5347
End
