NMec = 2020
T = 27
P = 5
Profits not ignored
Solution time = 3.656e-01
Viable tasks = 19375620
Total Profit = 33086
Task     Starting date     Ending date     Profit 
1               0               5           1001
2               0              21           2600
3               0              40           3991
4               0              53           4545
5               1              18           3897
6               4              12           2064
7               7              17           1733
8               7              22           3473
9               8              16           1016
10              8              20           2848
11             13              22           2099
12             15              26           1632
13             15              28           3173
14             17              23            686
15             19              25           1003
16             19              28           2111
17             19              34           1734
18             25              45           2895
19             27              36           1186
20             27              39           2697
21             27              42           1350
22             29              47           2053
23             30              37           1129
24             30              41           1528
25             32              34            400
26             32              42            821
27             44              51            801
End
