NMec = 2020
T = 19
P = 4
Profits not ignored
Solution time = 7.094e-03
Viable tasks = 168688
Total Profit = 28041
Task     Starting date     Ending date     Profit 
1               0              11           1798
2               0              11           1437
3               1              36           8575
4               2              14           1219
5               3               7           1286
6               4              24           2651
7               6              10            555
8               6              18           1809
9               9              33           4223
10             10              20           1026
11             12              30           3727
12             13              16            794
13             13              25           1174
14             19              24            848
15             22              26           1140
16             30              33            420
17             33              45           1070
18             34              47           1624
19             37              45           1947
End
