NMec = 2020
T = 4
P = 3
Profits not ignored
Solution time = 1.892e-06
Viable tasks = 16
Total Profit = 8515
Task     Starting date     Ending date     Profit 
1               0              19           3148
2               1               9           2348
3               3               8           1264
4               9              19           1755
5               2               0    -1965879080
6               9               0              0
7               1               0    -1965590040
8         2007348           32764    -1965879080
9     -1965590040           32672    -1965587208
End
