NMec = 2020
T = 10
P = 3
Profits not ignored
Solution time = 1.150e-05
Viable tasks = 328
Total Profit = 12919
Task     Starting date     Ending date     Profit 
1               0              14           1749
2               2              25           5135
3               5              21           1616
4               6              27           4187
5               7              20           1173
6               9              14            644
7              12              27           1860
8              13              23           1768
9              16              18            423
10             23              32           1425
End
