NMec = 2020
T = 32
P = 5
Profits not ignored
Solution time = 2.410e+00
Viable tasks = 105155468
Total Profit = 36420
Task     Starting date     Ending date     Profit 
1               0              61           6348
2               2              52           7112
3               8              33           3324
4              10              24           1991
5              10              29           4707
6              10              30           3430
7              12              24           1667
8              13              19            709
9              13              29           1889
10             15              28           2146
11             16              19            575
12             16              32           2713
13             16              34           2435
14             18              26            572
15             20              47           4233
16             24              60           2704
17             27              41           1276
18             29              53           4889
19             32              39           1355
20             32              50           2405
21             39              50           1311
22             40              53           1530
23             43              49            691
24             46              57           2275
25             46              60           1579
26             46              62           2064
27             48              50            341
28             48              58           1170
29             49              58           1914
30             50              53            609
31             50              57           1115
32             51              61           1245
End
