NMec = 2020
T = 19
P = 3
Profits not ignored
Solution time = 2.418e-03
Viable tasks = 149816
Total Profit = 23195
Task     Starting date     Ending date     Profit 
1               2               5            675
2               2              13           1666
3               4              27           2647
4              11              17            709
5              14              29           3008
6              14              30           2245
7              24              38           1417
8              27              35            710
9              29              37            605
10             29              38           2353
11             35              50           4071
12             36              47           1458
13             41              43            368
14             42              56           3487
15             44              53           1306
16             46              47            183
17             46              51            755
18             47              60           2243
19             59              62            432
End
