NMec = 2020
T = 6
P = 3
Profits not ignored
Solution time = 3.335e-06
Viable tasks = 48
Total Profit = 11309
Task     Starting date     Ending date     Profit 
1               2              16           1848
2               4              27           3452
3               5              11            902
4               6              18           2553
5               6              22           4269
6              12              28           2686
7               1               0    -1978631704
8      1265997108           32765    -1978920744
9     -1978631704           32626    -1978628872
End
