NMec = 2020
T = 24
P = 3
Profits not ignored
Solution time = 1.208e-02
Viable tasks = 622896
Total Profit = 30717
Task     Starting date     Ending date     Profit 
1               0              79           7489
2               2              23           2196
3               7              19           1842
4              10              25           2365
5              11              30           4690
6              11              32           5129
7              17              32           1335
8              17              39           3015
9              26              44           1897
10             27              42           3527
11             27              45           2315
12             33              53           2142
13             35              48           2305
14             36              44           1658
15             41              63           2169
16             44              65           2305
17             46              53            616
18             50              71           3222
19             57              65            947
20             59              75           3422
21             62              70           1316
22             63              79           1616
23             65              74           1469
24             66              75           1478
End
