NMec = 2020
T = 25
P = 2
Profits not ignored
Solution time = 2.766e-03
Viable tasks = 115825
Total Profit = 33606
Task     Starting date     Ending date     Profit 
1               1              15           1808
2               2              14           1818
3               6             107          12628
4              10             122          11580
5              15              26           2365
6              17              30           2302
7              22              49           5322
8              23              42           1546
9              25              30            532
10             25              31           2031
11             26              33           1256
12             29              48           4440
13             30              41           1223
14             34              51           1662
15             34              52           2500
16             35              53           4258
17             43             102           8782
18             47              67           5626
19             48              62           2837
20             73              82           1310
21             75              88           1364
22             77             114           7863
23             89             114           4820
24            101             122           3590
25            106             113           1819
End
