NMec = 2020
T = 24
P = 4
Profits not ignored
Solution time = 4.349e-02
Viable tasks = 2878552
Total Profit = 31714
Task     Starting date     Ending date     Profit 
1               0              10           1532
2               0              55           8321
3               1               9            958
4               1              23           2783
5               2              17           1110
6              12              24           3054
7              12              24           1051
8              14              24            983
9              14              41           2243
10             15              38           4026
11             19              44           3516
12             24              43           3047
13             25              38           1435
14             27              34            839
15             29              41           2490
16             33              34            241
17             33              50           1233
18             35              44            982
19             36              40           1270
20             40              45            774
21             41              46           1417
22             43              56           1583
23             48              56           1898
24             57              59            605
End
