NMec = 2020
T = 17
P = 6
Profits not ignored
Solution time = 9.384e-04
Viable tasks = 38710
Total Profit = 27072
Task     Starting date     Ending date     Profit 
1               0              22           4928
2               0              23           3011
3               0              25           4794
4               0              25           6048
5               1              13           1840
6               1              25           3228
7               3              17           2929
8               5              29           2201
9               6              28           4200
10              7              29           3159
11              8              15           1598
12             10              20           1370
13             11              18           1463
14             12              24           2386
15             15              27           1503
16             16              23           1496
17             21              28            830
End
